Gate_Type,Wf_S_eV,Wf_D_eV,DIBL_mV_per_V,SS_mV_per_dec,Ion_A_per_um,Ioff_A_per_um,IgTotal_Off_Low,IgTotal_On_Low,IgTotal_Off_High,IgTotal_On_High
Single,4.2,4.2,113.63,82.1,0.00021,2.22e-11,1.5599e-15,5.8987e-09,3.497e-13,2.7864e-09
Dual,4.2,4.8,37.65,85.42,0.000205,2.9e-16,1.0493e-21,3.7051e-09,1.6386e-19,1.8897e-09
